doc,class
product_type-shirt color-pattern color-off_white color_group-pale color_group-warm_color cut-button cut-pocket neckline-point_collar neckline-button_collar sleeve_style-long_sleeve fit-regular,1
product_type-shirt fit-slim color-pattern color-gray color_group-pattern fabric-weave fabric-cotton cut-button_down cut-button cut-cuff neckline-collar sleeve_style-long_sleeve,1
product_type-shirt sleeve_style-short_sleeve color-blue color-pattern color_group-bright color_group-dark color_group-cool_color color_group-pattern fabric-silk neckline-point_collar neckline-button_collar fit-regular,1
product_type-shirt fabric-stretchcotton cut-button_down neckline-collar neckline-button_collar color-black color_group-dark fit-regular_fit,1
product_type-shirt color-pattern color-blue neckline-point_collar neckline-button_collar sleeve_style-short_sleeve fit-regular_fit,1
product_type-shirt color-pattern color-black color_group-dark neckline-reverecollar neckline-button_collar cut-pocket fit-relaxed fit-oversized,1
product_type-shirt neckline-point_collar neckline-button_collar sleeve_style-contrastsleeve fit-relaxed fit-oversized color-green color_group-cool_color,1
product_type-shirt fit-regular_fit color-pattern color-black color_group-dark neckline-point_collar neckline-button_collar cut-button cut-pocket style-classic,1
product_type-shirt fabric-cotton color-pattern color-blue color_group-pattern color_group-dark neckline-button_collar fit-regular_fit,1
product_type-shirt sleeve_style-short_sleeve fabric-cotton cut-button_down cut-pocket neckline-button_collar fit-regular_fit,1
product_type-shirt color-pink color-pattern color_group-pattern sleeve_style-short_sleeve cut-button fit-regular,1
