doc,class
product_type-shirt fit-longline fit-oversize fit-oversized color-pattern color_group-pattern fabric-flannel fabric-cotton neckline-point_collar neckline-collar_button,0
product_type-shirt color-pattern color_group-pattern fabric-cotton neckline-collar cut-concealed_button cut-frayed fit-relaxed,0
product_type-shirt color-pink fabric-woven fabric-cotton neckline-point_collar cut-pocket cut-cropped fit-relaxed,0
product_type-shirt cut-ruffle cut-zip_back fabric-woven fabric-viscose neckline-crew_neck fit-regular_fit color-gray color_group-pale,0
product_type-shirt sleeve_style-sleeveless fabric-lace fabric-woven fabric-viscose neckline-crew_neck color-pattern color-brown color_group-pattern fit-regular_fit,0
product_type-shirt fabric-pure_cotton style-classic neckline-point_collar cut-pocket cut-button cut-cuff fit-regular_fit color-white color_group-pale,0
product_type-shirt fabric-woven fabric-cotton neckline-point_collar neckline-collar_button cut-pocket fit-relaxed color_group-pale,0
product_type-shirt fabric-woven fabric-cotton neckline-point_collar cut-pocket cut-button fit-relaxed color-pink color_group-pale,0
product_type-shirt sleeve_style-3_4_sleeve fabric-woven_cotton fabric-cotton style-classic neckline-point_collar cut-pocket fit-relaxed color-nude color-brown color_group-pale,0
product_type-shirt sleeve_style-3_4_sleeve fabric-woven_cotton fabric-cotton neckline-point_collar neckline-collar_button cut-pocket fit-loose,0
product_type-shirt fabric-woven_cotton fabric-cotton neckline-point_collar neckline-collar_button cut-pocket fit-regular_fit color-white color_group-pale,0
product_type-shirt fabric-pure_cotton fabric-woven neckline-point_collar neckline-collar_button fit-relaxed color-white color_group-pale,0
product_type-shirt color-blue fabric-denim fabric-cotton neckline-point_collar neckline-collar_button cut-pocket fit-relaxed,0
product_type-shirt fabric-cotton neckline-round_neck cut-tie_waist fit-regular_fit,0
product_type-shirt fabric-knit fabric-polyester fabric-elastane neckline-round_neck fit-relaxed,0
product_type-shirt color-pattern color_group-pattern fabric-woven fabric-layered fabric-viscose cut-concealed_button cut-side_split fit-relaxed,0
product_type-shirt fit-longline fit-oversized fabric-woven_cotton fabric-cotton color-pattern color-blue color_group-pattern color_group-pale neckline-point_collar neckline-collar_button,0
product_type-shirt fabric-silky fit-high_waist fit-slim style-feminine,0
product_type-shirt sleeve_style-bell_sleeve sleeve_style-three_quarter_sleeve color-gold color-yellow color-purple color-pattern color_group-metallic color_group-warm_color color_group-cool_color,0
product_type-shirt neckline-off_shoulder style-boho,0
